Date,Sentiment Score
06-01-2015,0.2023
07-01-2015,0
08-01-2015,0
09-01-2015,0
10-01-2015,0
11-01-2015,0
12-01-2015,0
13-01-2015,0
14-01-2015,0.6249
15-01-2015,0
16-01-2015,0
17-01-2015,0
18-01-2015,0
19-01-2015,0
20-01-2015,0
21-01-2015,0
22-01-2015,0
23-01-2015,0
24-01-2015,0
25-01-2015,0
26-01-2015,0
27-01-2015,0
28-01-2015,0
29-01-2015,0
30-01-2015,0
31-01-2015,0
01-02-2015,0
02-02-2015,0
03-02-2015,0
04-02-2015,0
05-02-2015,0
06-02-2015,0
07-02-2015,0
08-02-2015,0
09-02-2015,0
10-02-2015,0
11-02-2015,0
12-02-2015,0
13-02-2015,0
14-02-2015,0
15-02-2015,0
16-02-2015,0
17-02-2015,0
18-02-2015,0
19-02-2015,0
20-02-2015,0
21-02-2015,0
22-02-2015,0
23-02-2015,0
24-02-2015,0
25-02-2015,0
26-02-2015,0
27-02-2015,-0.8236
28-02-2015,0.087
01-03-2015,0.5719
02-03-2015,0
03-03-2015,0
04-03-2015,0
05-03-2015,0
06-03-2015,0
07-03-2015,0
08-03-2015,0
09-03-2015,0
10-03-2015,0
11-03-2015,0
12-03-2015,0
13-03-2015,0
14-03-2015,0
15-03-2015,0
16-03-2015,0.3565
17-03-2015,0
18-03-2015,0
19-03-2015,0
20-03-2015,0
21-03-2015,0
22-03-2015,0
23-03-2015,0
24-03-2015,0
25-03-2015,0
26-03-2015,0
27-03-2015,0
28-03-2015,0
29-03-2015,0
30-03-2015,0.1027
31-03-2015,0.4404
01-04-2015,0
02-04-2015,0
03-04-2015,0
04-04-2015,0
05-04-2015,0
06-04-2015,0
07-04-2015,0
08-04-2015,0
09-04-2015,0
10-04-2015,0
11-04-2015,0
12-04-2015,-0.1163
13-04-2015,0
14-04-2015,0
15-04-2015,1.1042
16-04-2015,0
17-04-2015,0
18-04-2015,0.0258
19-04-2015,1.9748
20-04-2015,0
21-04-2015,2.0907
22-04-2015,0
23-04-2015,0
24-04-2015,0
25-04-2015,0.8392
26-04-2015,0
27-04-2015,0
28-04-2015,0
29-04-2015,0
30-04-2015,0
01-05-2015,0
02-05-2015,0
03-05-2015,0
04-05-2015,0
05-05-2015,19.9801
06-05-2015,0
07-05-2015,0.8555
08-05-2015,0
09-05-2015,0
10-05-2015,0
11-05-2015,0
12-05-2015,0
13-05-2015,0
14-05-2015,0
15-05-2015,0
16-05-2015,0
17-05-2015,0
18-05-2015,0
19-05-2015,0
20-05-2015,0
21-05-2015,0
22-05-2015,0
23-05-2015,0
24-05-2015,0
25-05-2015,0
26-05-2015,0
27-05-2015,0
28-05-2015,0
29-05-2015,0
30-05-2015,0
31-05-2015,0
01-06-2015,0
02-06-2015,0
03-06-2015,0
04-06-2015,0
05-06-2015,0
06-06-2015,0
07-06-2015,0
08-06-2015,0
09-06-2015,0
10-06-2015,0
11-06-2015,0
12-06-2015,2.844
13-06-2015,0
14-06-2015,0
15-06-2015,0.5859
16-06-2015,1.1718
17-06-2015,0
18-06-2015,0
19-06-2015,0
20-06-2015,0
21-06-2015,0
22-06-2015,0
23-06-2015,0
24-06-2015,0
25-06-2015,0
26-06-2015,-0.1531
27-06-2015,0
28-06-2015,0
29-06-2015,0
30-06-2015,0
01-07-2015,0
02-07-2015,0
03-07-2015,0.3127
04-07-2015,0.1233
05-07-2015,0
06-07-2015,0
07-07-2015,0
08-07-2015,0
09-07-2015,72.7595
10-07-2015,0
11-07-2015,0
12-07-2015,0
13-07-2015,0
14-07-2015,0
15-07-2015,0
16-07-2015,0
17-07-2015,0
18-07-2015,0
19-07-2015,0
20-07-2015,2.2525
21-07-2015,0
22-07-2015,0
23-07-2015,0
24-07-2015,0
25-07-2015,0
26-07-2015,-0.5574
27-07-2015,7.1837
28-07-2015,0
29-07-2015,0
30-07-2015,0
31-07-2015,0
01-08-2015,0
02-08-2015,0
03-08-2015,0
04-08-2015,0
05-08-2015,0
06-08-2015,0
07-08-2015,3.0588
08-08-2015,0
09-08-2015,0.4019
10-08-2015,0
11-08-2015,0
12-08-2015,0
13-08-2015,0.9633
14-08-2015,0
15-08-2015,0
16-08-2015,0
17-08-2015,0
18-08-2015,-0.2023
19-08-2015,0.8123
20-08-2015,0
21-08-2015,0
22-08-2015,0.7096
23-08-2015,1.2093
